category,template_name,template_key,accuracy,qwk,mse,mae,samples_processed,samples_skipped,error
1_D_M,zero_shot,zero_shot,0.8340248962655602,0.52465483234714,0.17842323651452283,0.17012448132780084,482,0,
1_D_M,few_shot,few_shot,0.8796680497925311,0.6287488566889712,0.13278008298755187,0.12448132780082988,482,0,
1_D_kA,zero_shot,zero_shot,0.6908713692946058,0.41950739495057787,0.34024896265560167,0.31950207468879666,482,0,
1_D_kA,few_shot,few_shot,0.6991701244813278,0.39055494360581466,0.3381742738589212,0.3132780082987552,482,0,
1_Dm_M,zero_shot,zero_shot,0.405982905982906,0.2695727922761425,0.7350427350427351,0.6410256410256411,234,0,
1_Dm_M,few_shot,few_shot,0.4829059829059829,0.3128885323860544,0.8760683760683761,0.6367521367521367,234,0,
1_Dm_kA,zero_shot,zero_shot,0.5470085470085471,0.37953275046581625,0.6324786324786325,0.5128205128205128,234,0,
1_Dm_kA,few_shot,few_shot,0.5213675213675214,0.4131661442006269,0.6837606837606838,0.5470085470085471,234,0,
1_E_T_IV,zero_shot,zero_shot,0.4269911504424779,0.3914422722242715,0.6460176991150443,0.5973451327433629,452,0,
1_E_T_IV,few_shot,few_shot,0.5707964601769911,0.4824250760945914,0.6924778761061947,0.5154867256637168,452,0,
3_D_F,zero_shot,zero_shot,0.9015748031496063,0.37195077866304205,0.14960629921259844,0.11548556430446194,762,0,
3_D_F,few_shot,few_shot,0.884514435695538,0.33040421792618624,0.26115485564304464,0.16404199475065617,762,0,
3_D_Qual,zero_shot,zero_shot,0.8530183727034121,0.13241822205733722,0.2335958005249344,0.17585301837270342,762,0,
3_D_Qual,few_shot,few_shot,0.8700787401574803,0.1410767202143799,0.20866141732283464,0.15616797900262466,762,0,
3_D_Quan,zero_shot,zero_shot,0.8661417322834646,0.4801852968239363,0.16929133858267717,0.14566929133858267,762,0,
3_D_Quan,few_shot,few_shot,0.8923884514435696,0.5643245286585078,0.15879265091863518,0.12467191601049869,762,0,
3_Dm_F,zero_shot,zero_shot,0.49327354260089684,0.2284035335279223,0.8026905829596412,0.6053811659192825,223,0,
3_Dm_F,few_shot,few_shot,0.515695067264574,0.22324634263972998,0.874439461883408,0.6143497757847534,223,0,
3_Dm_Kons,zero_shot,zero_shot,0.5517241379310345,0.40761787743818156,0.6551724137931034,0.5172413793103449,203,0,
3_Dm_Kons,few_shot,few_shot,0.5566502463054187,0.39664192724175684,0.8423645320197044,0.5763546798029556,203,0,
3_Dm_Qual,zero_shot,zero_shot,0.12556053811659193,0.03056074672956033,1.9506726457399104,1.2331838565022422,223,0,
3_Dm_Qual,few_shot,few_shot,0.3273542600896861,0.03967702141976004,1.7219730941704037,1.0224215246636772,223,0,
3_Dm_Quan,zero_shot,zero_shot,0.5625,0.260759493670886,0.6517857142857143,0.5089285714285714,224,0,
3_Dm_Quan,few_shot,few_shot,0.7678571428571429,0.36429308565531493,0.5401785714285714,0.33482142857142855,224,0,
3_E_T_IV,zero_shot,zero_shot,0.28936170212765955,0.20843578588991862,0.7914893617021277,0.7375886524822695,705,0,
3_E_T_IV,few_shot,few_shot,0.7787234042553192,0.5459563897322661,0.2581560283687943,0.2326241134751773,705,0,
4_D_Ep,zero_shot,zero_shot,0.7484143763213531,0.6198039204182093,0.28964059196617337,0.2642706131078224,473,0,
4_D_Ep,few_shot,few_shot,0.758985200845666,0.6249242011972324,0.32346723044397463,0.26849894291754756,473,0,
4_Dm_Ep,zero_shot,zero_shot,0.6192660550458715,0.5354264252859011,0.463302752293578,0.40825688073394495,218,0,
4_Dm_Ep,few_shot,few_shot,0.6422018348623854,0.5778888194878201,0.42660550458715596,0.38073394495412843,218,0,
4_E_T_IV,zero_shot,zero_shot,0.769406392694064,0.4434460600119806,0.319634703196347,0.2602739726027397,438,0,
4_E_T_IV,few_shot,few_shot,0.7328767123287672,0.4138546313303595,0.3493150684931507,0.2945205479452055,438,0,
5_D_Ma,zero_shot,zero_shot,0.9139072847682119,0.1607699606886268,0.1357615894039735,0.10264900662251655,302,0,
5_D_Ma,few_shot,few_shot,0.9006622516556292,0.20873362445414834,0.17880794701986755,0.12582781456953643,302,0,
5_D_Mk,zero_shot,zero_shot,0.6821192052980133,0.4821377536438982,0.31788079470198677,0.31788079470198677,302,0,
5_D_Mk,few_shot,few_shot,0.7185430463576159,0.5316889845659867,0.2814569536423841,0.2814569536423841,302,0,
5_Dm_Ma,zero_shot,zero_shot,0.5045045045045045,0.18259189955936495,0.5495495495495496,0.5135135135135135,222,0,
5_Dm_Ma,few_shot,few_shot,0.45495495495495497,0.16594199839587997,0.8018018018018018,0.6306306306306306,222,0,
5_Dm_Mk,zero_shot,zero_shot,0.7117117117117117,0.6434962147281487,0.3153153153153153,0.2972972972972973,222,0,
5_Dm_Mk,few_shot,few_shot,0.7522522522522522,0.691009525466487,0.2882882882882883,0.26126126126126126,222,0,
5_E_T_IV,zero_shot,zero_shot,0.6308243727598566,0.44045534150612964,0.5089605734767025,0.4157706093189964,279,0,
5_E_T_IV,few_shot,few_shot,0.7992831541218638,0.5690106790247834,0.32974910394265233,0.24372759856630824,279,0,
6_D_Rb,zero_shot,zero_shot,0.7147058823529412,0.3183306055646482,0.5764705882352941,0.38235294117647056,340,0,
6_D_Rb,few_shot,few_shot,0.8441176470588235,0.8156857223317375,0.22647058823529412,0.17941176470588235,340,0,
6_D_kA,zero_shot,zero_shot,0.8058823529411765,0.25040085515766974,0.38823529411764707,0.25882352941176473,340,0,
6_D_kA,few_shot,few_shot,0.7647058823529411,0.3160417736688923,0.5529411764705883,0.3411764705882353,340,0,
6_Dm_Rb,zero_shot,zero_shot,0.5521739130434783,0.49514975571762376,0.5391304347826087,0.4782608695652174,230,0,
6_Dm_Rb,few_shot,few_shot,0.5782608695652174,0.5685670261941449,0.48695652173913045,0.4434782608695652,230,0,
6_Dm_kA,zero_shot,zero_shot,0.5043478260869565,0.3140638481449526,0.691304347826087,0.5608695652173913,230,0,
6_Dm_kA,few_shot,few_shot,0.6,0.36013590033975085,0.49130434782608695,0.43043478260869567,230,0,
6_E_T_IV,zero_shot,zero_shot,0.5862068965517241,0.29260823653643087,0.658307210031348,0.4952978056426332,319,0,
6_E_T_IV,few_shot,few_shot,0.6677115987460815,0.33222102470568726,0.6332288401253918,0.43260188087774293,319,0,
